source_player_id,source_player_name,datagolf_player_name,canonical_name,event_key,first_seen_at,last_seen_at
29535,Brice Garnett,"garnett, brice","garnett, brice",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
29725,Tony Finau,"finau, tony","finau, tony",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
30926,Chris Kirk,"kirk, chris","kirk, chris",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
30927,Brendon Todd,"todd, brendon","todd, brendon",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
31323,Gary Woodland,"woodland, gary","woodland, gary",pga:R2026525,2026-07-28T20:00:15.857631+00:00,2026-07-28T20:02:01.510710+00:00
31646,Emiliano Grillo,"grillo, emiliano","grillo, emiliano",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
32070,Rafael Campos,"campos, rafael","campos, rafael",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
32102,Rickie Fowler,"fowler, rickie","fowler, rickie",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
32640,Troy Merritt,"merritt, troy","merritt, troy",pga:R2026525,2026-07-28T20:00:15.857631+00:00,2026-07-28T20:02:01.510710+00:00
32757,Patton Kizzire,"kizzire, patton","kizzire, patton",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
32791,"lee, k.h.","Lee, Kyounghoon","Lee, Kyounghoon",,2026-07-30T20:57:42.572014+00:00,2026-07-30T20:57:42.572014+00:00
32839,Hideki Matsuyama,"matsuyama, hideki","matsuyama, hideki",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
33141,Keegan Bradley,"bradley, keegan","bradley, keegan",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
33445,Patrick Wilkes-Krier,"wilkes-krier, patrick","wilkes-krier, patrick",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
